municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
310090;AGUAS FORMOSAS;2024-01-30;1;2024;15;Interior de MG;TENTADO;1
310110;AIMORES;2024-02-03;2;2024;8;Interior de MG;TENTADO;1
310170;ALMENARA;2024-04-26;4;2024;15;Interior de MG;TENTADO;1
310170;ALMENARA;2024-10-24;10;2024;15;Interior de MG;TENTADO;1
310230;ALVINOPOLIS;2024-07-21;7;2024;12;Interior de MG;TENTADO;1
310340;ARACUAI;2024-09-22;9;2024;15;Interior de MG;TENTADO;1
310350;ARAGUARI;2024-01-01;1;2024;9;Interior de MG;TENTADO;1
310350;ARAGUARI;2024-02-20;2;2024;9;Interior de MG;TENTADO;1
310350;ARAGUARI;2024-05-10;5;2024;9;Interior de MG;TENTADO;1
310350;ARAGUARI;2024-10-13;10;2024;9;Interior de MG;TENTADO;1
310400;ARAXA;2024-07-19;7;2024;5;Interior de MG;TENTADO;1
310420;ARCOS;2024-04-28;4;2024;7;Interior de MG;TENTADO;1
310445;ARICANDUVA;2024-03-03;3;2024;14;Interior de MG;TENTADO;1
310510;BAMBUI;2024-01-01;1;2024;7;Interior de MG;TENTADO;1
310560;BARBACENA;2024-03-28;3;2024;13;Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2024-01-19;1;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-03-03;3;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-03-11;3;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-03-20;3;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-04-04;4;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-04-05;4;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-04-06;4;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-04-09;4;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-04-16;4;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-04-29;4;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-05-13;5;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-06-15;6;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-06-16;6;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-06-27;6;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-07-01;7;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-07-16;7;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-08-07;8;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-08-09;8;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-08-11;8;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-08-25;8;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-09-01;9;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-09-03;9;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-09-15;9;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-10-06;10;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-10-11;10;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-10-21;10;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-10-23;10;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-10-28;10;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-11-02;11;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-11-06;11;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-11-19;11;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-12-02;12;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-12-03;12;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-12-21;12;2024;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2024-12-26;12;2024;1;Belo Horizonte;TENTADO;1
310670;BETIM;2024-05-12;5;2024;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2024-08-09;8;2024;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2024-10-17;10;2024;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2024-12-21;12;2024;2;RMBH (Sem BH);TENTADO;1
310740;BOM DESPACHO;2024-02-03;2;2024;7;Interior de MG;TENTADO;1
310920;BUENOPOLIS;2024-07-25;7;2024;14;Interior de MG;TENTADO;1
310930;BURITIS;2024-02-09;2;2024;16;Interior de MG;TENTADO;1
311110;CAMPINA VERDE;2024-01-12;1;2024;5;Interior de MG;TENTADO;1
311230;CAPELINHA;2024-06-04;6;2024;14;Interior de MG;TENTADO;1
311330;CARANGOLA;2024-02-04;2;2024;4;Interior de MG;TENTADO;1
311340;CARATINGA;2024-02-17;2;2024;12;Interior de MG;TENTADO;1
311430;CARMO DO PARANAIBA;2024-02-04;2;2024;10;Interior de MG;TENTADO;1
311455;CARNEIRINHO;2024-04-21;4;2024;5;Interior de MG;TENTADO;1
311860;CONTAGEM;2024-01-06;1;2024;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2024-03-23;3;2024;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2024-04-20;4;2024;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2024-06-01;6;2024;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2024-06-25;6;2024;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2024-08-08;8;2024;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2024-12-02;12;2024;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2024-12-25;12;2024;2;RMBH (Sem BH);TENTADO;1
311940;CORONEL FABRICIANO;2024-05-19;5;2024;12;Interior de MG;TENTADO;1
312090;CURVELO;2024-06-15;6;2024;14;Interior de MG;TENTADO;1
312160;DIAMANTINA;2024-06-08;6;2024;14;Interior de MG;TENTADO;1
312410;ESMERALDAS;2024-11-09;11;2024;2;RMBH (Sem BH);TENTADO;1
312430;ESPINOSA;2024-08-27;8;2024;11;Interior de MG;TENTADO;1
312510;EXTREMA;2024-07-08;7;2024;17;Interior de MG;TENTADO;1
312510;EXTREMA;2024-10-09;10;2024;17;Interior de MG;TENTADO;1
312610;FORMIGA;2024-03-23;3;2024;7;Interior de MG;TENTADO;1
312670;FRANCISCO SA;2024-05-07;5;2024;11;Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2024-03-13;3;2024;8;Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2024-06-23;6;2024;8;Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2024-07-02;7;2024;8;Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2024-12-31;12;2024;8;Interior de MG;TENTADO;1
312820;GUARACIABA;2024-01-06;1;2024;12;Interior de MG;TENTADO;1
312870;GUAXUPE;2024-01-26;1;2024;18;Interior de MG;TENTADO;1
313010;IGARAPE;2024-01-06;1;2024;2;RMBH (Sem BH);TENTADO;1
313020;IGARATINGA;2024-08-18;8;2024;7;Interior de MG;TENTADO;1
313020;IGARATINGA;2024-10-07;10;2024;7;Interior de MG;TENTADO;1
313130;IPATINGA;2024-03-30;3;2024;12;Interior de MG;TENTADO;1
313130;IPATINGA;2024-07-08;7;2024;12;Interior de MG;TENTADO;1
313130;IPATINGA;2024-08-18;8;2024;12;Interior de MG;TENTADO;1
313220;ITAGUARA;2024-09-22;9;2024;2;RMBH (Sem BH);TENTADO;1
313240;ITAJUBA;2024-03-21;3;2024;17;Interior de MG;TENTADO;1
313240;ITAJUBA;2024-10-10;10;2024;17;Interior de MG;TENTADO;1
313250;ITAMARANDIBA;2024-06-29;6;2024;14;Interior de MG;TENTADO;1
313260;ITAMARATI DE MINAS;2024-02-24;2;2024;4;Interior de MG;TENTADO;1
313370;ITATIAIUCU;2024-11-17;11;2024;7;RMBH (Sem BH);TENTADO;1
313380;ITAUNA;2024-03-21;3;2024;7;Interior de MG;TENTADO;1
313400;ITINGA;2024-10-06;10;2024;15;Interior de MG;TENTADO;1
313440;ITURAMA;2024-02-24;2;2024;5;Interior de MG;TENTADO;1
313440;ITURAMA;2024-03-13;3;2024;5;Interior de MG;TENTADO;1
313440;ITURAMA;2024-04-27;4;2024;5;Interior de MG;TENTADO;1
313440;ITURAMA;2024-10-27;10;2024;5;Interior de MG;TENTADO;1
313460;JABOTICATUBAS;2024-12-21;12;2024;3;RMBH (Sem BH);TENTADO;1
313470;JACINTO;2024-04-08;4;2024;15;Interior de MG;TENTADO;1
313520;JANUARIA;2024-07-27;7;2024;11;Interior de MG;TENTADO;1
313550;JEQUERI;2024-01-13;1;2024;12;Interior de MG;TENTADO;1
313580;JEQUITINHONHA;2024-03-30;3;2024;15;Interior de MG;TENTADO;1
313620;JOAO MONLEVADE;2024-10-13;10;2024;12;Interior de MG;TENTADO;1
313665;JUATUBA;2024-07-15;7;2024;2;RMBH (Sem BH);TENTADO;1
