municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
310170;ALMENARA;2026-07-29;7;2026;15;Interior de MG;TENTADO;1
310350;ARAGUARI;2026-04-27;4;2026;9;Interior de MG;TENTADO;1
310460;ASTOLFO DUTRA;2026-02-21;2;2026;4;Interior de MG;TENTADO;1
310510;BAMBUI;2026-07-26;7;2026;7;Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2026-01-01;1;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-02-01;2;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-02-15;2;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-02-18;2;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-02-20;2;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-02-27;2;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-03-19;3;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-03-24;3;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-04-14;4;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-04-19;4;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-05-24;5;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-05-02;5;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-05-03;5;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-06-04;6;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-06-09;6;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-01-16;1;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-07-21;7;2026;1;Belo Horizonte;TENTADO;1
310620;BELO HORIZONTE;2026-07-04;7;2026;1;Belo Horizonte;TENTADO;1
310670;BETIM;2026-01-02;1;2026;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2026-01-09;1;2026;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2026-05-17;5;2026;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2026-05-31;5;2026;2;RMBH (Sem BH);TENTADO;1
310670;BETIM;2026-06-14;6;2026;2;RMBH (Sem BH);TENTADO;1
310730;BOCAIUVA;2026-05-12;5;2026;11;Interior de MG;TENTADO;1
310825;BONITO DE MINAS;2026-04-24;4;2026;11;Interior de MG;TENTADO;1
310855;BRASILANDIA DE MINAS;2026-01-30;1;2026;16;Interior de MG;TENTADO;1
311120;CAMPO BELO;2026-01-29;1;2026;6;Interior de MG;TENTADO;1
311340;CARATINGA;2026-04-17;4;2026;12;Interior de MG;TENTADO;1
311340;CARATINGA;2026-05-30;5;2026;12;Interior de MG;TENTADO;2
311830;CONSELHEIRO LAFAIETE;2026-03-03;3;2026;13;Interior de MG;TENTADO;1
311860;CONTAGEM;2026-02-08;2;2026;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2026-04-22;4;2026;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2026-04-27;4;2026;2;RMBH (Sem BH);TENTADO;1
311860;CONTAGEM;2026-05-28;5;2026;2;RMBH (Sem BH);TENTADO;1
311940;CORONEL FABRICIANO;2026-02-10;2;2026;12;Interior de MG;TENTADO;1
311940;CORONEL FABRICIANO;2026-03-21;3;2026;12;Interior de MG;TENTADO;1
312090;CURVELO;2026-02-17;2;2026;14;Interior de MG;TENTADO;1
312125;DELTA;2026-05-10;5;2026;5;Interior de MG;TENTADO;1
312400;ERVALIA;2026-06-06;6;2026;4;Interior de MG;TENTADO;1
312410;ESMERALDAS;2026-02-20;2;2026;2;RMBH (Sem BH);TENTADO;1
312510;EXTREMA;2026-04-24;4;2026;17;Interior de MG;TENTADO;1
312560;FELISBURGO;2026-07-24;7;2026;15;Interior de MG;TENTADO;1
312710;FRUTAL;2026-01-01;1;2026;5;Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2026-01-04;1;2026;8;Interior de MG;TENTADO;1
312770;GOVERNADOR VALADARES;2026-03-08;3;2026;8;Interior de MG;TENTADO;1
312800;GUANHAES;2026-02-06;2;2026;8;Interior de MG;TENTADO;1
312800;GUANHAES;2026-05-10;5;2026;8;Interior de MG;TENTADO;1
312870;GUAXUPE;2026-02-12;2;2026;18;Interior de MG;TENTADO;1
312980;IBIRITE;2026-03-26;3;2026;2;RMBH (Sem BH);TENTADO;1
313130;IPATINGA;2026-06-28;6;2026;12;Interior de MG;TENTADO;1
313170;ITABIRA;2026-04-01;4;2026;12;Interior de MG;TENTADO;1
313370;ITATIAIUCU;2026-06-24;6;2026;7;RMBH (Sem BH);TENTADO;1
313420;ITUIUTABA;2026-03-22;3;2026;9;Interior de MG;TENTADO;1
