municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;natureza_delito;tentado_consumado;qtde_vitimas
310010;ABADIA DOS DOURADOS;2024-01-05;1;2024;10;Interior de MG;AMEACA;S;1
310010;ABADIA DOS DOURADOS;2024-01-13;1;2024;10;Interior de MG;AMEACA;S;1
310010;ABADIA DOS DOURADOS;2024-02-02;2;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-02-27;2;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-03-20;3;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-03-31;3;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-04-06;4;2024;10;Interior de MG;AMEACA;S;1
310010;ABADIA DOS DOURADOS;2024-04-07;4;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-04-13;4;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-04-22;4;2024;10;Interior de MG;AMEACA;S;1
310010;ABADIA DOS DOURADOS;2024-05-05;5;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-05-30;5;2024;10;Interior de MG;DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA;S;1
310010;ABADIA DOS DOURADOS;2024-05-30;5;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-06-09;6;2024;10;Interior de MG;AMEACA;S;1
310010;ABADIA DOS DOURADOS;2024-06-15;6;2024;10;Interior de MG;OUTRAS ACOES DEFESA SOCIAL;S;1
310010;ABADIA DOS DOURADOS;2024-06-16;6;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-06-21;6;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-06-29;6;2024;10;Interior de MG;ATRITO VERBAL;S;2
310010;ABADIA DOS DOURADOS;2024-07-03;7;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-09-08;9;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-09-29;9;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-10-06;10;2024;10;Interior de MG;PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS;S;1
310010;ABADIA DOS DOURADOS;2024-10-13;10;2024;10;Interior de MG;AMEACA;S;1
310010;ABADIA DOS DOURADOS;2024-10-14;10;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-10-22;10;2024;10;Interior de MG;AMEACA;S;1
310010;ABADIA DOS DOURADOS;2024-10-25;10;2024;10;Interior de MG;OUTRAS INFRACOES CONTRA O PATRIMONIO;S;1
310010;ABADIA DOS DOURADOS;2024-11-02;11;2024;10;Interior de MG;LESAO CORPORAL;S;1
310010;ABADIA DOS DOURADOS;2024-11-12;11;2024;10;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310010;ABADIA DOS DOURADOS;2024-11-30;11;2024;10;Interior de MG;AMEACA;S;1
310020;ABAETE;2024-01-01;1;2024;7;Interior de MG;DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA;S;1
310020;ABAETE;2024-01-05;1;2024;7;Interior de MG;ESTUPRO DE VULNERAVEL;S;1
310020;ABAETE;2024-01-05;1;2024;7;Interior de MG;OUTRAS INFRACOES CONTRA DIGNIDADE SEXUAL E A FAMILIA;S;1
310020;ABAETE;2024-01-06;1;2024;7;Interior de MG;LESAO CORPORAL;S;1
310020;ABAETE;2024-01-07;1;2024;7;Interior de MG;INJURIA;S;1
310020;ABAETE;2024-01-07;1;2024;7;Interior de MG;VIAS DE FATO / AGRESSAO;S;1
310020;ABAETE;2024-01-11;1;2024;7;Interior de MG;LESAO CORPORAL;S;1
310020;ABAETE;2024-01-11;1;2024;7;Interior de MG;PERSEGUICAO;S;1
