municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;natureza_delito;tentado_consumado;qtde_vitimas
310010;ABADIA DOS DOURADOS;2021-01-01;1;2021;10º Departamento - Patos de Minas;3) Interior de MG;CONSTRANGE/VEXAME MENOR DE IDADE SOB GUARDA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-02-13;2;2021;10º Departamento - Patos de Minas;3) Interior de MG;ATEND. DENUNCIA DE INFRACOES CONTRA CRIANCAS E ADO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-02-14;2;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-04-11;4;2021;10º Departamento - Patos de Minas;3) Interior de MG;ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA ;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-04-13;4;2021;10º Departamento - Patos de Minas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-04-18;4;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-04-27;4;2021;10º Departamento - Patos de Minas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-05-09;5;2021;10º Departamento - Patos de Minas;3) Interior de MG;FURTO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-05-11;5;2021;10º Departamento - Patos de Minas;3) Interior de MG;DIFAMACAO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-05-20;5;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-05-23;5;2021;10º Departamento - Patos de Minas;3) Interior de MG;DANO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-06-14;6;2021;10º Departamento - Patos de Minas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-06-16;6;2021;10º Departamento - Patos de Minas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-07-02;7;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-07-16;7;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-07-18;7;2021;10º Departamento - Patos de Minas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-07-23;7;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-07-25;7;2021;10º Departamento - Patos de Minas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-07-25;7;2021;10º Departamento - Patos de Minas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-08-13;8;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-08-25;8;2021;10º Departamento - Patos de Minas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-09-05;9;2021;10º Departamento - Patos de Minas;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-09-19;9;2021;10º Departamento - Patos de Minas;3) Interior de MG;CALUNIA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-09-29;9;2021;10º Departamento - Patos de Minas;3) Interior de MG;ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA ;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-10-03;10;2021;10º Departamento - Patos de Minas;3) Interior de MG;ESTUPRO DE VULNERAVEL;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-10-05;10;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-10-19;10;2021;10º Departamento - Patos de Minas;3) Interior de MG;DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-11-04;11;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-11-13;11;2021;10º Departamento - Patos de Minas;3) Interior de MG;ATRITO VERBAL;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-11-15;11;2021;10º Departamento - Patos de Minas;3) Interior de MG;CALUNIA;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-11-16;11;2021;10º Departamento - Patos de Minas;3) Interior de MG;ESTUPRO DE VULNERAVEL;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-11-20;11;2021;10º Departamento - Patos de Minas;3) Interior de MG;ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA ;CONSUMADO;1
310010;ABADIA DOS DOURADOS;2021-12-02;12;2021;10º Departamento - Patos de Minas;3) Interior de MG;AMEACA;CONSUMADO;1
